DataSize BlockSize CPUBandwidth GPUBandwidth optGPUBandwidth
4096 1024 5.06383 0.539538 0.720085
16384 1024 5.04855 1.66622 2.78127
65536 1024 5.0434 3.84654 9.88968
262144 1024 5.0433 5.45185 26.1595
1048576 1024 5.03896 6.03732 40.0424
8192 8 5.05266 0.893761 1.15577
8192 16 5.0528 1.17093 1.37982
8192 32 5.05223 1.35591 1.62869
8192 64 5.05256 1.47455 1.79217
8192 128 5.05213 1.34683 1.55243
8192 256 5.05273 1.24162 1.50174
8192 512 5.05251 1.12833 1.45964
8192 1024 5.05237 1.0865 1.47792
