numElements blockDim bodyBodyInt[G]
1 192 0
2 192 4.29054e-05
4 192 0.000257348
8 192 0.00120133
16 192 0.00511943
32 192 0.0209657
64 192 0.0851149
128 192 0.340193
256 192 0.590321
512 192 1.88135
1024 192 5.00704
2048 192 12.333
4096 192 22.1311
8192 192 32.9918
16384 192 35.1496
32768 192 37.6018
65536 192 39.6613
131072 192 40.2975
262144 192 40.6878
